ROC
---

Sens      Spec

0.8139    0.9204
0.8047    0.9284
0.7970    0.9334
0.7892    0.9371
0.7814    0.9393
0.7739    0.9413
0.7663    0.9435
0.7588    0.9443
0.7519    0.9446
0.7448    0.9448
0.7383    0.9449
0.7308    0.9450
0.7241    0.9451
0.7168    0.9451
0.7097    0.9451
0.7031    0.9448
0.6967    0.9447
0.6902    0.9445
0.6829    0.9448
0.6764    0.9446
